723286,Start32245,40646,32767,32767,32767,32767
723320,Start32245,40646,32767,32767,32767,32767
723354,Start32245,40646,32767,32767,32767,32767
723388,Start32245,40646,32767,32767,32767,32767
723422,Start32245,40646,32767,32767,32767,32767
723457,Start32245,40646,32767,32767,32767,32767
723491,Start32245,40646,32767,32767,32767,32767
723525,Start32245,40646,32767,32767,32767,32767
723559,Start32245,40646,32767,32767,32767,32767
723593,Start32245,40646,32767,32767,32767,32767
723627,Start32245,40646,32767,32767,32767,32767
723662,Start32245,40646,32767,32767,32767,32767
723696,Start32245,40646,32767,32767,32767,32767
723734,Start32245,40646,32767,32767,32767,32767
723773,Start32245,40646,32767,32767,32767,32767
723804,Start32245,40646,32767,32767,32767,32767
723839,Start32245,40646,32767,32767,32767,32767
723872,Start32245,40646,32767,32767,32767,32767
723906,Start32245,40646,32767,32767,32767,32767
723940,Start32245,40646,32767,32767,32767,32767
723993,Start32245,40646,32767,32767,32767,32767
724036,Start32245,40646,32767,32767,32767,32767
724071,Start32245,40646,32767,32767,32767,32767
724105,Start32245,40646,32767,32767,32767,32767
724144,Start32245,40646,32767,32767,32767,32767
724191,Start32245,40644,32767,32767,32767,32767
724228,Start32245,40646,32767,32767,32767,32767
724263,Start32245,40646,32767,32767,32767,32767
724299,Start32245,40646,32767,32767,32767,32767
724333,Start32245,40646,32767,32767,32767,32767
724367,Start32245,40646,32767,32767,32767,32767
724401,Start32245,40646,32767,32767,32767,32767
724435,Start32245,40646,32767,32767,32767,32767
724471,Start32245,40646,32767,32767,32767,32767
724505,Start32245,40646,32767,32767,32767,32767
724538,Start32245,40646,32767,32767,32767,32767
724572,Start32245,40646,32767,32767,32767,32767
724606,Start32245,40646,32767,32767,32767,32767
724640,Start32245,40646,32767,32767,32767,32767
724674,Start32245,40646,32767,32767,32767,32767
724708,Start32245,40646,32767,32767,32767,32767
724742,Start32245,40646,32767,32767,32767,32767
724776,Start32245,40646,32767,32767,32767,32767
724810,Start32245,40646,32767,32767,32767,32767
724844,Start32245,40646,32767,32767,32767,32767
724878,Start32245,40646,32767,32767,32767,32767
724911,Start32245,40646,32767,32767,32767,32767
724945,Start32245,40646,32767,32767,32767,32767
724978,Start32245,40646,32767,32767,32767,32767
725012,Start32245,40646,32767,32767,32767,32767
725046,Start32245,40646,32767,32767,32767,32767
725080,Start32245,40646,32767,32767,32767,32767
725115,Start32245,40646,32767,32767,32767,32767
725149,Start32245,40646,32767,32767,32767,32767
725183,Start32240,40429,32767,32767,32767,32767
725219,Start32245,40421,32767,32767,32767,32767
725253,Start32245,40302,32767,32767,32767,32767
725287,Start32247,40055,32767,32767,32767,32767
725321,Start32248,39969,32767,32767,32767,32767
725354,Start32248,39954,32767,32767,32767,32767
725388,Start32247,39983,32767,32767,32767,32767
725422,Start32246,39999,32767,32767,32767,32767
725456,Start32247,39904,32767,32767,32767,32767
725490,Start32245,39730,32767,32767,32767,32767
725524,Start32251,39446,32767,32767,32767,32767
